ID,Age,Income,Score,Gender,Height_cm
1,,-4000,300,,178
2,29,900000,85,Male,175
3,100,,300,male,170
4,,5000,80,,
5,28,,85,Male,
6,100,900000,80,,
7,100,900000,82,male,175
8,,900000,85,male,178
9,30,,82,fmale,175
10,28,900000,85,female,
11,,,,female,170
12,28,900000,300,male,165
13,28,-4000,,,178
14,100,900000,82,FEMALE,178
15,29,,300,female,175
16,28,5200,85,male,178
17,-5,900000,300,fmale,
18,100,5200,80,male,
19,30,-4000,300,male,175
20,29,5000,80,fmale,
21,-5,-4000,300,fmale,170
22,-5,900000,80,male,175
23,30,5200,82,,170
24,29,5200,,Male,165
25,100,,85,Male,170
26,25,5200,300,FEMALE,165
27,29,,,fmale,165
28,30,5000,85,Male,170
29,-5,900000,85,male,175
30,100,,80,,
31,29,5000,82,FEMALE,
32,25,5200,82,FEMALE,165
33,25,5200,,fmale,165
34,28,5000,82,FEMALE,175
35,28,5200,300,Male,178
36,,5000,82,Male,170
37,30,,,fmale,165
38,29,,82,fmale,
39,29,5000,300,Male,175
40,,,80,fmale,170
41,-5,,,,175
42,-5,,80,FEMALE,170
43,,-4000,80,female,170
44,-5,900000,80,female,165
45,28,5200,85,FEMALE,175
46,29,-4000,85,FEMALE,175
47,,,80,female,
48,29,5000,,female,
49,25,,300,,165
50,28,900000,300,male,165
51,100,,82,fmale,178
52,28,5000,,Male,
53,,900000,85,female,170
54,100,,80,,175
55,25,900000,82,fmale,165
56,,5200,300,FEMALE,175
57,30,5200,85,male,175
58,29,,85,male,178
59,25,900000,80,male,
60,29,5000,300,male,165
61,-5,,,male,175
62,30,5200,85,female,165
63,30,5200,80,fmale,170
64,25,,,male,178
65,30,900000,300,fmale,170
66,100,5200,85,FEMALE,165
67,30,900000,,FEMALE,165
68,29,5200,,fmale,
69,29,5200,,male,175
70,,-4000,85,,175
71,29,5200,85,,170
72,,5000,82,FEMALE,178
73,29,,300,fmale,175
74,100,,80,male,
75,,900000,,,170
76,28,5200,82,male,170
77,-5,5000,80,Male,
78,25,900000,82,female,178
79,29,-4000,85,FEMALE,
80,30,900000,,female,178
81,29,900000,80,Male,
82,30,5200,80,FEMALE,
83,-5,-4000,80,female,165
84,-5,900000,80,fmale,170
85,-5,5000,80,female,
86,30,5000,82,female,
87,29,,,Male,175
88,-5,-4000,85,Male,170
89,100,-4000,85,fmale,175
90,,,85,FEMALE,170
91,30,900000,85,female,175
92,30,-4000,82,,
93,29,5000,300,male,
94,30,5000,,male,165
95,30,5200,80,fmale,175
96,-5,-4000,300,Male,178
97,29,900000,85,,165
98,-5,,300,FEMALE,175
99,,,,male,175
100,,900000,80,male,165
101,-5,5200,80,female,
102,,,,,175
103,29,-4000,,fmale,
104,25,5200,85,fmale,165
105,-5,-4000,80,fmale,
106,100,5000,300,,170
107,100,5200,82,Male,178
108,30,,82,fmale,175
109,,5200,,fmale,178
110,100,5200,85,,
111,30,5200,82,male,175
112,25,5200,80,male,
113,29,-4000,,female,170
114,29,5000,300,fmale,165
115,29,900000,,female,175
116,100,5200,300,male,170
117,25,,,Male,170
118,100,5200,,Male,175
119,,,,,
120,100,-4000,300,,170
121,25,,300,Male,178
122,25,900000,,FEMALE,170
123,,5000,82,female,
124,25,,85,fmale,
125,25,,85,,178
126,29,5000,85,,170
127,,900000,300,FEMALE,
128,28,5200,300,female,175
129,28,,82,,165
130,25,5000,85,,165
131,28,-4000,85,female,165
132,28,5000,,fmale,170
133,25,-4000,300,Male,178
134,28,900000,85,fmale,
135,100,5200,82,fmale,175
136,30,5000,82,male,175
137,,,85,male,170
138,30,900000,300,female,165
139,25,5000,82,Male,170
140,29,,,male,178
141,,5000,82,,178
142,25,-4000,80,male,
143,29,5000,80,male,
144,30,5000,300,FEMALE,178
145,25,5000,85,FEMALE,178
146,,900000,300,,178
147,,5000,300,Male,170
148,-5,,300,FEMALE,178
149,100,-4000,300,,175
150,28,-4000,,male,165
151,29,5000,,male,178
152,-5,900000,82,male,165
153,28,900000,80,fmale,170
154,28,,300,female,165
155,25,5000,82,female,170
156,28,-4000,80,FEMALE,175
157,100,900000,85,Male,170
158,,5000,,FEMALE,170
159,-5,900000,80,FEMALE,
160,28,900000,85,FEMALE,178
161,25,-4000,80,,178
162,100,5200,,Male,175
163,30,,,female,175
164,,,82,Male,178
165,,-4000,300,female,
166,-5,900000,80,male,178
167,,5000,80,fmale,
168,28,900000,85,,175
169,25,-4000,,fmale,165
170,,,80,FEMALE,175
171,,900000,,male,175
172,30,,80,male,170
173,30,5000,82,female,170
174,29,,300,fmale,170
175,100,,80,,170
176,28,5200,,FEMALE,
177,,5200,82,fmale,178
178,,5200,80,fmale,165
179,25,,85,FEMALE,175
180,29,-4000,300,,
181,100,,80,,165
182,29,-4000,82,male,
183,-5,-4000,85,female,
184,100,5200,82,male,175
185,,900000,82,FEMALE,178
186,,5000,85,fmale,170
187,100,5200,82,fmale,178
188,,5200,85,female,175
189,28,900000,80,fmale,175
190,100,5000,85,fmale,175
191,29,,85,,165
192,100,,300,Male,178
193,,5200,85,Male,178
194,28,5000,85,,
195,28,5200,80,male,
196,-5,-4000,300,,
197,29,5200,,male,175
198,30,5200,80,Male,178
199,30,,80,male,175
200,100,,,fmale,165
201,-5,,85,female,
202,25,-4000,82,,175
203,100,,300,female,175
204,-5,5000,82,FEMALE,165
205,29,900000,,Male,170
206,29,5000,80,Male,178
207,29,5000,80,,170
208,29,,300,female,
209,29,900000,80,male,175
210,-5,900000,80,Male,165
211,-5,900000,300,female,165
212,28,-4000,300,male,178
213,30,,,fmale,170
214,,900000,80,FEMALE,178
215,29,-4000,80,FEMALE,175
216,25,5200,,,178
217,,5200,85,,165
218,-5,-4000,85,Male,165
219,25,-4000,85,Male,
220,25,,,Male,
221,25,,80,male,175
222,28,5200,,Male,170
223,-5,900000,,fmale,178
224,25,5200,85,FEMALE,175
225,29,900000,82,FEMALE,
226,100,900000,80,FEMALE,178
227,25,,85,,
228,28,5000,82,Male,178
229,,5000,82,male,170
230,-5,-4000,300,,175
231,28,,80,female,178
232,25,900000,82,FEMALE,165
233,-5,5000,85,female,165
234,100,900000,300,,178
235,25,5000,80,FEMALE,178
236,28,5000,,Male,178
237,30,5000,85,male,165
238,29,,82,,165
239,,5200,82,Male,178
240,28,900000,85,male,
241,-5,,82,Male,
242,25,,300,Male,170
243,29,,80,Male,175
244,25,,300,Male,
245,-5,,82,female,165
246,25,-4000,,,
247,30,900000,80,fmale,170
248,29,,80,fmale,170
249,29,900000,85,female,175
250,-5,-4000,85,FEMALE,
251,,-4000,,male,165
252,30,900000,80,,165
253,28,5000,,Male,178
254,25,5200,85,fmale,165
255,100,5000,85,fmale,175
256,25,5000,80,Male,175
257,25,5000,300,FEMALE,165
258,28,,82,female,165
259,25,-4000,85,FEMALE,178
260,30,5000,85,fmale,165
261,30,-4000,300,male,178
262,29,900000,300,male,178
263,-5,5200,,fmale,165
264,,900000,,FEMALE,170
265,100,900000,82,,170
266,25,,82,female,178
267,25,5200,80,female,165
268,28,900000,,female,170
269,-5,900000,85,FEMALE,165
270,30,5200,,female,165
271,100,5200,85,FEMALE,165
272,29,900000,300,FEMALE,
273,30,5200,,female,165
274,-5,900000,300,fmale,
275,,900000,82,FEMALE,178
276,29,,82,FEMALE,170
277,,5000,80,female,170
278,28,900000,,fmale,170
279,28,-4000,300,Male,170
280,25,5000,85,female,170
281,,5000,82,FEMALE,170
282,-5,5000,82,fmale,170
283,100,,85,Male,178
284,29,900000,300,FEMALE,165
285,30,,300,female,175
286,-5,900000,,female,
287,-5,,,Male,175
288,28,,80,FEMALE,175
289,,-4000,82,male,165
290,25,,,,165
291,25,5200,300,male,165
292,29,-4000,85,fmale,170
293,28,,300,male,178
294,-5,5000,82,male,170
295,100,5200,300,female,178
296,28,5200,80,fmale,178
297,29,5200,82,fmale,175
298,29,-4000,85,FEMALE,175
299,28,,80,male,178
300,29,,82,fmale,178
301,28,5000,85,male,170
302,30,5000,80,male,170
303,28,5200,80,Male,175
304,,5000,82,Male,165
305,28,-4000,,female,178
306,29,,80,,170
307,,5200,80,female,175
308,29,5000,85,Male,170
309,25,-4000,300,female,178
310,25,-4000,82,,178
311,,5000,82,FEMALE,
312,30,,,female,165
313,25,5000,,male,
314,28,5200,82,fmale,175
315,29,5000,,,170
316,25,-4000,85,Male,175
317,25,5000,82,FEMALE,178
318,30,,,,
319,,900000,82,FEMALE,
320,,5000,300,Male,
321,-5,,80,male,175
322,30,,82,male,178
323,28,-4000,80,FEMALE,170
324,,,,,170
325,29,,80,FEMALE,175
326,30,,82,female,
327,25,,300,male,165
328,29,5200,,FEMALE,175
329,29,5200,82,fmale,175
330,25,-4000,,Male,178
331,30,5000,85,male,170
332,25,,80,,175
333,-5,5000,85,male,175
334,29,5000,82,fmale,
335,100,-4000,300,Male,
336,100,,,fmale,165
337,28,,80,male,178
338,,900000,,female,165
339,25,5000,82,female,
340,25,5000,,female,170
341,28,5200,80,female,
342,28,900000,82,male,178
343,28,5200,,fmale,
344,29,5200,300,Male,178
345,-5,5200,82,Male,178
346,25,-4000,82,female,178
347,29,-4000,300,,178
348,28,5200,85,FEMALE,178
349,25,900000,80,Male,170
350,29,5000,85,,165
351,-5,900000,,FEMALE,175
352,29,,300,Male,165
353,-5,-4000,85,female,178
354,28,5000,82,male,170
355,-5,5000,,,
356,25,,,Male,170
357,28,,85,FEMALE,178
358,25,5200,85,Male,170
359,100,-4000,300,male,170
360,30,-4000,80,Male,178
361,-5,900000,85,Male,170
362,30,5200,85,FEMALE,175
363,30,5200,82,fmale,175
364,-5,5200,,,170
365,28,5200,80,Male,
366,100,-4000,82,fmale,178
367,25,-4000,300,FEMALE,175
368,29,5200,300,fmale,
369,25,900000,85,Male,170
370,29,5000,85,female,
371,25,5000,300,FEMALE,165
372,-5,900000,85,,175
373,100,5200,80,Male,170
374,29,-4000,85,FEMALE,178
375,,5000,,Male,170
376,28,,85,female,178
377,25,,82,,170
378,25,900000,80,Male,
379,29,5200,82,female,
380,28,5000,82,male,
381,28,5200,,FEMALE,165
382,-5,5000,80,Male,178
383,,900000,80,Male,
384,-5,900000,80,,165
385,-5,,80,,178
386,-5,5200,80,Male,170
387,-5,,,fmale,165
388,-5,5200,85,fmale,175
389,100,,82,female,165
390,28,-4000,80,Male,165
391,-5,-4000,85,Male,178
392,28,-4000,85,Male,170
393,28,-4000,82,fmale,175
394,30,5000,,,
395,100,-4000,300,male,
396,-5,900000,300,Male,165
397,25,900000,85,male,178
398,29,5000,82,FEMALE,178
399,,-4000,300,Male,
400,25,-4000,85,male,175
401,100,-4000,,male,170
402,29,,300,,175
403,100,5200,85,female,170
404,28,,85,fmale,
405,29,5200,80,FEMALE,170
406,28,-4000,,female,178
407,25,-4000,80,FEMALE,165
408,25,,82,Male,165
409,29,,80,,
410,29,5200,80,Male,178
411,-5,900000,300,male,175
412,100,5200,85,FEMALE,178
413,-5,,,fmale,165
414,100,,80,male,165
415,-5,5000,,,178
416,28,,80,fmale,178
417,29,5000,82,male,165
418,25,900000,80,FEMALE,175
419,100,5200,300,female,
420,100,5200,85,female,
421,25,5000,82,Male,178
422,-5,5200,80,female,
423,100,,,,165
424,,-4000,82,fmale,165
425,28,5000,82,Male,178
426,29,5200,80,,178
427,25,5000,82,FEMALE,178
428,29,5000,,fmale,175
429,,-4000,82,fmale,
430,100,,,female,178
431,100,5000,80,,170
432,,5200,85,Male,170
433,25,900000,82,FEMALE,165
434,28,5000,85,male,
435,30,5000,,female,178
436,25,-4000,82,FEMALE,170
437,30,,300,Male,
438,,900000,85,Male,165
439,-5,5200,82,FEMALE,175
440,30,900000,85,male,
441,28,5200,82,,
442,-5,,80,,175
443,30,5200,85,female,
444,,-4000,300,fmale,165
445,-5,-4000,300,fmale,165
446,,-4000,,,175
447,30,-4000,82,male,178
448,,900000,85,Male,170
449,28,,,female,178
450,30,5200,85,,
451,30,5200,82,male,170
452,30,-4000,300,male,175
453,25,-4000,80,FEMALE,175
454,25,5000,300,FEMALE,170
455,25,,,,165
456,28,900000,80,,170
457,-5,5200,,male,
458,,5000,82,FEMALE,165
459,100,5000,80,male,175
460,30,5200,,female,170
461,,900000,82,female,178
462,30,5000,300,female,178
463,28,5000,82,fmale,
464,30,,85,FEMALE,178
465,25,900000,82,FEMALE,170
466,100,5000,82,female,170
467,29,900000,85,Male,178
468,30,5200,,Male,170
469,,-4000,,fmale,
470,25,5000,82,fmale,165
471,29,,85,Male,
472,100,5200,85,,
473,29,900000,300,,170
474,25,5200,,fmale,165
475,-5,5000,80,,170
476,-5,900000,,female,175
477,29,-4000,,female,170
478,28,5200,300,Male,170
479,,5000,80,Male,170
480,,,300,female,165
481,29,900000,80,Male,170
482,30,5200,82,,165
483,30,5200,80,fmale,178
484,,-4000,300,FEMALE,175
485,,-4000,,FEMALE,165
486,-5,,80,FEMALE,178
487,28,,80,,165
488,25,5000,85,female,165
489,30,5000,,,175
490,,,82,fmale,
491,-5,,300,,
492,100,900000,82,female,165
493,-5,-4000,,fmale,170
494,30,5000,80,Male,178
495,30,-4000,80,,170
496,-5,-4000,,fmale,170
497,25,,80,male,165
498,29,900000,80,,165
499,30,5200,80,female,165
500,-5,900000,300,female,165
