Transaction_ID,Items_Purchased,Date,Amount
1047,"MILK, BREAD, EGGS",,
1012,"milk, , eggs",2023/4/3,
1072,"MILK, BREAD, EGGS",2023-04-05,
1076,bread; butter; milk,03-04-2023,25.0
1030,"milk, bread, eggs",2023-04-05,25.0
1074,,03-04-2023,25.0
1067,"milk, , eggs",2023-04-05,40.0
1097,"milk, bread, eggs",2023-04-05,60.0
1003,"eggs, cheese, bread",03-04-2023,25.0
1018,"milk, , eggs",03-04-2023,60.0
1069,"Milk , Bread",,
1097,bread; butter; milk,2023-04-05,40.0
1081,bread; butter; milk,03-04-2023,25.0
1012,"milk, bread, eggs",,60.0
1022,"Milk , Bread",,45.0
1082,bread; butter; milk,03-04-2023,60.0
1074,"MILK, BREAD, EGGS",2023-04-05,40.0
1000,"milk, , eggs",2023-04-05,
1087,"milk, , eggs",2023/4/3,
1053,"milk, , eggs",03-04-2023,
1070,"eggs, cheese, bread",,25.0
1088,"MILK, BREAD, EGGS",2023-04-05,45.0
1084,"eggs, cheese, bread",2023/4/3,25.0
1014,"Milk , Bread",03-04-2023,45.0
1064,,2023-04-05,60.0
1075,bread; butter; milk,,60.0
1070,"MILK, BREAD, EGGS",03-04-2023,60.0
1014,"milk, , eggs",03-04-2023,60.0
1020,"eggs, cheese, bread",,40.0
1018,,2023-04-05,60.0
1059,bread; butter; milk,,45.0
1092,bread; butter; milk,,25.0
1088,bread; butter; milk,,60.0
1032,"Milk , Bread",03-04-2023,40.0
1048,"Milk , Bread",,45.0
1095,"milk, bread, eggs",2023/4/3,60.0
1034,"eggs, cheese, bread",2023-04-05,25.0
1043,bread; butter; milk,2023-04-05,
1089,"eggs, cheese, bread",,
1010,"milk, bread, eggs",,60.0
1098,"eggs, cheese, bread",2023/4/3,40.0
1071,"milk, , eggs",,45.0
1077,"Milk , Bread",2023-04-05,40.0
1073,,03-04-2023,
1065,"milk, , eggs",2023-04-05,45.0
1045,"eggs, cheese, bread",03-04-2023,45.0
1008,"Milk , Bread",03-04-2023,40.0
1002,"Milk , Bread",2023/4/3,25.0
1084,"Milk , Bread",,45.0
1025,"Milk , Bread",03-04-2023,
1071,,03-04-2023,25.0
1047,"milk, bread, eggs",2023/4/3,60.0
1065,"milk, , eggs",,45.0
1069,bread; butter; milk,2023/4/3,60.0
1027,bread; butter; milk,2023/4/3,40.0
1092,,2023-04-05,
1025,"milk, bread, eggs",2023-04-05,60.0
1024,"Milk , Bread",2023/4/3,25.0
1011,bread; butter; milk,03-04-2023,25.0
1004,"milk, , eggs",2023-04-05,25.0
1097,"Milk , Bread",2023-04-05,
1047,"milk, bread, eggs",,60.0
1036,,03-04-2023,40.0
1078,"milk, bread, eggs",,45.0
1043,bread; butter; milk,,40.0
1099,"MILK, BREAD, EGGS",2023/4/3,25.0
1014,"Milk , Bread",,
1042,,,45.0
1047,"milk, bread, eggs",,40.0
1086,bread; butter; milk,2023/4/3,
1069,"milk, bread, eggs",03-04-2023,45.0
1045,"MILK, BREAD, EGGS",2023-04-05,25.0
1042,bread; butter; milk,03-04-2023,25.0
1020,"milk, bread, eggs",2023/4/3,45.0
1022,"MILK, BREAD, EGGS",2023-04-05,40.0
1079,"milk, bread, eggs",2023-04-05,40.0
1046,bread; butter; milk,,25.0
1014,"MILK, BREAD, EGGS",03-04-2023,40.0
1024,"milk, , eggs",03-04-2023,60.0
1035,"milk, bread, eggs",2023-04-05,40.0
1074,"eggs, cheese, bread",03-04-2023,45.0
1050,"MILK, BREAD, EGGS",2023/4/3,25.0
1014,"eggs, cheese, bread",03-04-2023,60.0
1067,"eggs, cheese, bread",03-04-2023,60.0
1020,bread; butter; milk,,45.0
1012,"Milk , Bread",2023-04-05,25.0
1085,,03-04-2023,45.0
1018,,03-04-2023,40.0
1033,"Milk , Bread",,40.0
1077,"eggs, cheese, bread",03-04-2023,40.0
1067,"milk, bread, eggs",03-04-2023,
1051,"eggs, cheese, bread",2023-04-05,45.0
1026,"milk, bread, eggs",2023-04-05,60.0
1028,"eggs, cheese, bread",,60.0
1027,bread; butter; milk,03-04-2023,
1034,"milk, bread, eggs",2023-04-05,40.0
1007,,2023/4/3,40.0
1015,"MILK, BREAD, EGGS",2023/4/3,60.0
1035,"Milk , Bread",2023/4/3,60.0
1029,"milk, , eggs",,
1017,"milk, bread, eggs",2023/4/3,60.0
1001,"Milk , Bread",2023/4/3,60.0
1048,"milk, bread, eggs",03-04-2023,60.0
1076,"eggs, cheese, bread",2023/4/3,45.0
1003,"milk, bread, eggs",03-04-2023,40.0
1089,bread; butter; milk,2023-04-05,40.0
1088,,03-04-2023,40.0
1093,"MILK, BREAD, EGGS",03-04-2023,45.0
1074,"MILK, BREAD, EGGS",2023-04-05,25.0
1006,"eggs, cheese, bread",2023/4/3,40.0
1094,"MILK, BREAD, EGGS",2023-04-05,
1073,"eggs, cheese, bread",2023/4/3,
1038,,2023-04-05,60.0
1012,"milk, bread, eggs",2023-04-05,45.0
1030,"eggs, cheese, bread",2023/4/3,60.0
1070,"milk, , eggs",2023/4/3,
1062,,2023/4/3,40.0
1055,,2023-04-05,45.0
1041,"milk, bread, eggs",2023/4/3,45.0
1060,"eggs, cheese, bread",03-04-2023,60.0
1041,bread; butter; milk,,
1055,"MILK, BREAD, EGGS",03-04-2023,25.0
1035,"MILK, BREAD, EGGS",,
1083,bread; butter; milk,,45.0
1067,bread; butter; milk,,60.0
1006,"milk, bread, eggs",03-04-2023,
1053,"eggs, cheese, bread",2023/4/3,60.0
1000,"milk, , eggs",03-04-2023,40.0
1043,"MILK, BREAD, EGGS",2023-04-05,45.0
1044,,,
1046,"Milk , Bread",2023/4/3,40.0
1012,"milk, bread, eggs",03-04-2023,
1021,,2023/4/3,
1020,"MILK, BREAD, EGGS",03-04-2023,45.0
1085,bread; butter; milk,,60.0
1091,"milk, bread, eggs",,40.0
1008,"milk, , eggs",2023/4/3,60.0
1025,bread; butter; milk,03-04-2023,
1008,"eggs, cheese, bread",2023-04-05,60.0
1014,"Milk , Bread",2023-04-05,60.0
1009,,2023/4/3,25.0
1087,"milk, bread, eggs",,45.0
1041,"Milk , Bread",,60.0
1071,"milk, , eggs",2023/4/3,45.0
1023,"milk, bread, eggs",2023/4/3,40.0
1079,"milk, bread, eggs",03-04-2023,60.0
1048,"eggs, cheese, bread",2023-04-05,45.0
1025,bread; butter; milk,03-04-2023,45.0
1090,"milk, , eggs",,45.0
1036,"MILK, BREAD, EGGS",03-04-2023,
1067,"eggs, cheese, bread",03-04-2023,40.0
1049,bread; butter; milk,,
1023,"Milk , Bread",,45.0
1018,"milk, bread, eggs",2023-04-05,60.0
1099,"eggs, cheese, bread",,60.0
1059,"MILK, BREAD, EGGS",2023-04-05,25.0
1038,bread; butter; milk,2023/4/3,45.0
1073,"Milk , Bread",2023-04-05,25.0
1088,,03-04-2023,25.0
1017,bread; butter; milk,03-04-2023,25.0
1018,"milk, bread, eggs",2023-04-05,25.0
1035,,2023/4/3,45.0
1073,"milk, , eggs",,60.0
1096,,2023/4/3,
1054,"milk, , eggs",03-04-2023,60.0
1068,"MILK, BREAD, EGGS",2023-04-05,60.0
1046,,2023/4/3,40.0
1048,"MILK, BREAD, EGGS",03-04-2023,40.0
1098,"Milk , Bread",2023-04-05,40.0
1097,"eggs, cheese, bread",2023/4/3,45.0
1032,"Milk , Bread",2023/4/3,45.0
1020,bread; butter; milk,2023/4/3,45.0
1080,"milk, , eggs",2023-04-05,45.0
1021,"eggs, cheese, bread",2023-04-05,60.0
1047,,2023-04-05,
1036,bread; butter; milk,03-04-2023,45.0
1014,,2023/4/3,45.0
1034,bread; butter; milk,2023-04-05,60.0
1091,"Milk , Bread",2023-04-05,60.0
1070,,2023-04-05,60.0
1031,"MILK, BREAD, EGGS",2023/4/3,25.0
1010,"milk, , eggs",2023/4/3,60.0
1009,"milk, bread, eggs",2023/4/3,60.0
1072,"milk, , eggs",,25.0
1077,,,
1076,"MILK, BREAD, EGGS",,
1056,"Milk , Bread",2023/4/3,60.0
1024,bread; butter; milk,03-04-2023,25.0
1001,"milk, bread, eggs",03-04-2023,60.0
1063,,2023/4/3,60.0
1034,,,45.0
1006,bread; butter; milk,,45.0
1084,"MILK, BREAD, EGGS",03-04-2023,60.0
1017,"milk, , eggs",03-04-2023,60.0
1066,"milk, , eggs",,
1041,,2023-04-05,40.0
1038,"milk, , eggs",,60.0
1040,"milk, bread, eggs",2023/4/3,45.0
1074,"MILK, BREAD, EGGS",03-04-2023,60.0
1023,,,
1059,"MILK, BREAD, EGGS",03-04-2023,25.0
1045,"eggs, cheese, bread",2023-04-05,25.0
1018,"eggs, cheese, bread",2023/4/3,40.0
1067,bread; butter; milk,03-04-2023,
1089,,,40.0
1041,"MILK, BREAD, EGGS",,45.0
1031,"milk, , eggs",03-04-2023,40.0
1038,"milk, bread, eggs",2023-04-05,25.0
1035,"MILK, BREAD, EGGS",03-04-2023,60.0
1096,"eggs, cheese, bread",2023/4/3,
1035,"Milk , Bread",2023-04-05,40.0
1002,,,45.0
1072,"milk, bread, eggs",2023-04-05,60.0
1007,"milk, bread, eggs",03-04-2023,60.0
1096,,,25.0
1069,,2023/4/3,60.0
1040,"milk, , eggs",03-04-2023,45.0
1067,,2023-04-05,45.0
1012,"milk, , eggs",2023-04-05,25.0
1048,"Milk , Bread",,40.0
1059,"Milk , Bread",03-04-2023,45.0
1001,,2023-04-05,60.0
1059,"milk, bread, eggs",2023/4/3,45.0
1004,bread; butter; milk,2023/4/3,40.0
